Code,Name,Market,Sector,Industry,Price,MarketCap,PER,PBR,ROE,PSR,Volume_today,Volume_month_avg,Volume_month_max,Volume_month_min,ma20,ma60,ma120,GoldenAlign_YN
005930,삼성전자,KOSPI,Unknown,Unknown,189000,1118811567258000,28.79,2.95,10.85,213.86,22995904,33285858.0,89427954.0,19566331.0,193745.0,164660.0,131887.0,Y
000660,SK하이닉스,KOSPI,Unknown,Unknown,995000,709138853175000,16.88,5.7,44.15,302.06,4463869,4713175.0,9253420.0,3326240.0,967200.0,841333.0,676983.0,Y
005935,삼성전자우,KOSPI,Unknown,Unknown,133600,109014215110400,20.35,2.09,,20.84,3286740,5884870.0,13351762.0,2871106.0,135795.0,117997.0,97203.0,Y
005380,현대차,KOSPI,Unknown,Unknown,501000,102583640766000,14.18,1.14,8.41,52.75,1102731,1996675.0,4855346.0,770000.0,538250.0,466483.0,363296.0,Y
373220,LG에너지솔루션,KOSPI,Unknown,Unknown,394000,92196000000000,85.93,,5.19,343.06,352715,410812.0,826847.0,200932.0,382800.0,389050.0,408404.0,N
402340,SK스퀘어,KOSPI,Unknown,Unknown,605000,79912704575000,9.1,2.89,37.82,1756.59,521309,641778.0,1146627.0,342332.0,583050.0,503667.0,388628.0,Y
207940,삼성바이오로직스,KOSPI,Unknown,Unknown,1585000,73371157335000,59.65,9.85,19.44,1365.22,35752,52864.0,97725.0,27709.0,1628250.0,1725900.0,1705368.0,N
012450,한화에어로스페이스,KOSPI,Unknown,Unknown,1400000,72188761400000,49.0,7.44,19.14,236.34,212913,400503.0,1295365.0,111115.0,1364050.0,1230583.0,1091958.0,Y
034020,두산에너빌리티,KOSPI,Unknown,Unknown,102600,65721573579600,645.28,,1.52,387.2,3200148,6749699.0,13364978.0,3105960.0,101220.0,93148.0,85069.0,Y
000270,기아,KOSPI,Unknown,Unknown,157900,61646212384200,8.26,1.0,12.92,50.58,1032979,1811399.0,3876333.0,904634.0,171235.0,154898.0,134224.0,Y
105560,KB금융,KOSPI,Unknown,Unknown,149400,55703857977000,10.01,0.91,8.86,,1431022,1444581.0,2845836.0,803427.0,152175.0,142775.0,132027.0,Y
329180,HD현대중공업,KOSPI,Unknown,Unknown,523000,54894720675000,33.31,5.88,18.82,230.21,262835,265737.0,481480.0,153623.0,572600.0,572917.0,558800.0,N
028260,삼성물산,KOSPI,Unknown,Unknown,289000,49123221216000,20.4,0.95,6.02,110.14,367791,487213.0,993497.0,233252.0,297525.0,290808.0,255442.0,Y
068270,셀트리온,KOSPI,Unknown,Unknown,203500,47018321113500,45.76,2.59,5.94,895.98,472726,626130.0,1535839.0,359729.0,212890.0,212567.0,196426.0,Y
032830,삼성생명,KOSPI,Unknown,Unknown,227500,45500000000000,19.76,0.65,4.96,,493421,518077.0,1080275.0,208804.0,221025.0,193102.0,174402.0,Y
055550,신한지주,KOSPI,Unknown,Unknown,92100,43715666648100,9.42,0.77,8.11,,1255340,2080464.0,3419674.0,1067616.0,93470.0,88015.0,81705.0,Y
042660,한화오션,KOSPI,Unknown,Unknown,124700,38209750231800,30.67,6.19,22.59,276.45,753232,2011021.0,6443038.0,579582.0,130605.0,132982.0,125484.0,N
006800,미래에셋증권,KOSPI,Unknown,Unknown,67300,37372794258400,38.86,3.11,7.94,189.16,5318315,5353387.0,12212256.0,2521922.0,67230.0,47531.0,35045.0,Y
012330,현대모비스,KOSPI,Unknown,Unknown,402000,36474498366000,10.13,0.73,7.68,55.66,226151,403756.0,1070764.0,166536.0,430800.0,426217.0,369862.0,Y
267260,HD현대일렉트릭,KOSPI,Unknown,Unknown,992000,35758757920000,48.81,17.6,41.5,756.21,145733,164678.0,340891.0,86102.0,966550.0,911983.0,839500.0,Y
009150,삼성전기,KOSPI,Unknown,Unknown,454500,33948284832000,49.95,3.6,7.7,265.65,465963,908452.0,1645328.0,374842.0,426275.0,334800.0,281968.0,Y
035420,NAVER,KOSPI,Unknown,Unknown,215500,33801743489000,17.41,1.17,7.37,251.62,465850,949600.0,2051989.0,468548.0,227425.0,245467.0,249283.0,N
010130,고려아연,KOSPI,Unknown,Unknown,1593000,33250639617000,41.36,,8.48,155.12,22294,38407.0,96133.0,17390.0,1726050.0,1602367.0,1387758.0,Y
006400,삼성SDI,KOSPI,Unknown,Unknown,404000,32556554120000,48.53,,3.15,215.67,416484,868589.0,2584055.0,359325.0,403300.0,357400.0,319071.0,Y
086790,하나금융지주,KOSPI,Unknown,Unknown,108700,30254015981800,7.7,0.66,9.17,,977916,1116824.0,2141242.0,569082.0,113510.0,107483.0,98970.0,Y
015760,한국전력,KOSPI,Unknown,Unknown,46450,29819231376650,3.49,0.62,19.4,30.3,2477570,3502286.0,9721473.0,1629831.0,50672.0,54606.0,49881.0,N
042700,한미반도체,KOSPI,Unknown,Unknown,300000,28593660000000,134.35,,34.76,3514.89,675633,1864145.0,6701641.0,656744.0,294950.0,216213.0,170382.0,Y
298040,효성중공업,KOSPI,Unknown,Unknown,2990000,27880398520000,53.63,11.84,24.41,400.56,79587,47330.0,75826.0,20172.0,2612250.0,2340767.0,2098692.0,Y
005490,POSCO홀딩스,KOSPI,Unknown,Unknown,342000,27679069584000,42.3,0.46,1.18,38.26,252184,491938.0,1237021.0,201085.0,355150.0,348025.0,325429.0,Y
009540,HD한국조선해양,KOSPI,Unknown,Unknown,385000,27247649660000,12.57,2.05,17.78,82.65,209425,272271.0,556756.0,114908.0,416975.0,419642.0,424204.0,N
272210,한화시스템,KOSPI,Unknown,Unknown,136600,25806388537400,106.55,5.27,6.6,595.55,1621725,3550795.0,13590699.0,1007068.0,136455.0,102970.0,77998.0,Y
010120,LS ELECTRIC,KOSPI,Unknown,Unknown,844000,25320000000000,88.34,12.13,14.67,421.84,138169,167537.0,303713.0,85763.0,758550.0,619433.0,515588.0,Y
034730,SK,KOSPI,Unknown,Unknown,346000,25085935238000,15.83,0.76,6.35,20.23,259904,325196.0,1048503.0,129027.0,358025.0,320142.0,282804.0,Y
316140,우리금융지주,KOSPI,Unknown,Unknown,33000,24224518560000,7.6,0.69,9.39,,2063946,3099915.0,7692213.0,1562406.0,33852.0,31860.0,29166.0,Y
010140,삼성중공업,KOSPI,Unknown,Unknown,26850,23628000000000,43.31,5.53,13.74,186.24,3901636,6441693.0,16051728.0,2252176.0,28255.0,28049.0,26502.0,Y
000810,삼성화재,KOSPI,Unknown,Unknown,490000,22545465950000,12.3,1.11,13.11,,146184,135514.0,230440.0,88322.0,495350.0,502508.0,488192.0,N
